,title,location,minimum_qual,preferred_qual,responsibilities,min_degree_req,pref_degree_req,min_work_exp_req,pref_work_exp_req,min_langs_req,pref_langs_req
605,"Postdoctoral Research Scientist, Audio Visual Learning (PhD)","Redmond, WA","Currently has or is in the process of obtaining a PhD degree or completing a postdoctoral assignment in the field of Computer Science, Artificial Intelligence, or related field.
3+ years of experience in standard AI, CV and ML libraries and softwares including PyTorch, Torch, TensorFlow, Keras etc.
3 + years of programming experience in Python or C++.
Interpersonal experience: cross-group and cross-culture collaboration.
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.
Core Research Focus in one or more of the following areas: Computer Vision, Audio-Visual Learning, Machine Vision, Machine Learning, Multi-sensory Learning.","Research experience in one or more of the following: Audio, Augmented Reality, Virtual Reality.
Proven track record of achieving significant results as demonstrated by grants, fellowships, patents, as well as first-authored publications at leading workshops or conferences such as NeurIPS, ICML, ICCV, CVPR, ICASSP, IEEE VR, AAAI, AISTATS.","Develop novel and accurate computer vision algorithms and systems for audio-visual learning.
Leveraging machine learning and deep learning in Augmented and/or Virtual reality applications.
Analyze and improve efficiency, scalability, and stability of various deployed systems.
Collaborate with team members across a variety of domains including signal processing, acoustic engineering and perception sciences.",PhD,None,3,0,"C++,Python",None
606,"Privacy and Data Policy Associate Manager, Partnerships","Menlo Park, CA","4+ years of experience with counseling clients around product development or privacy, data security, or technology policy issues
Knowledge of privacy legislative and policy frameworks
Experience managing cross-functional projects and prioritizing multiple simultaneous projects
Communication experience and collaborative work ethic","JD, MPP, or technical degree
Experience with privacy issues related to data sharing with third parties
Investigation and policy enforcement experience","Focus on working with the many teams across the company responsible for investigating and enforcing our terms and policies governing third party data collection and use
Work with software developers, designers, lawyers, product managers, and others to help interdisciplinary teams simultaneously address policy, legal, engineering, user interface, business, marketing and other privacy requirements in the context of investigations and enforcement
Serve as an effective manager for Facebook regarding privacy issues, including in external meetings and conferences — particularly around how to develop greater responsibility and accountability in the app developer ecosystem
Build consensus around innovative solutions to privacy in new technologies and contexts",None,None,4,0,None,None
607,"Research Intern, Human-Computer Interaction","Redmond, WA","Must obtain work authorization in the country of employment at the time of hire and maintain ongoing work authorization during employment
Currently has or is in the process of obtaining a PhD in human-computer interaction, psychology, cognitive science, or a related field.
Excellent research skills involving defining problems, exploring solutions, designing experiments, and analyzing and presenting results.
Proficiency in C++/C#, Matlab, R, and/or Python.
Interpersonal skills for cross-group and cross-culture collaboration.","Intent to return to degree-program after the completion of the internship/co-op
Experience with machine learning and computational modeling.
Experience with eye-tracking data.
Experience building experiences in Unity.","Plan and execute cutting-edge research to advance AR/VR interaction technologies in one or more of the following areas: Explore the effects of novel AR/VR input modalities on performance and experience, Explore and model how costs of error vary with input modality, task, and context, Explore new methods for disambiguating interactions with real and virtual content in the real world, Leverage knowledge of human cognition (e.g., perception, attention) to develop better input experiences
Collaborate with other researchers and engineers to develop, prototype, and test hardware and software solutions.
Produce publishable research that appears in top-tier journals or at leading international conferences.",PhD,None,0,0,"C++,Python,C#",None
608,"Data Scientist, Analytics Intern (2020)","Tel Aviv, Israel","Pursuing a BS, MS or PhD degree in Computer Science, Applied Mathematics, Statistics, Industrial Engineer, Operations Research, or related technical field from an academic institution
Experience in solving analytical problems using quantitative approaches (or equivalent)
Experience with SQL or other programming languages (Python, Java, and/or C++)
Development experience in at least one scripting language (PHP, Perl, Python, etc.)","Experience with statistical analysis, experience with packages such as R, MATLAB, Excel, etc. preferred","Mine massive amounts and perform large-scale data analysis to extract useful business insights
Design and implement reporting dashboards that track key business metrics and provide actionable insights
Identify actionable insights, suggest recommendations and influence the direction of the business by effectively communicating results to cross functional groups
Work closely with a Product Manager and Engineering team to proactively create rule and manage decisions
Backend software engineering to build scalable solutions and help automate data processing challenges
Prioritize leads so that the teams work on the most valuable cases
Suggest improvements in the tools and techniques to help scale the team",PhD,None,0,0,"C++,Java,Python,PHP,SQL",None
609,"Network Engineer, Deployment & Support","Fort Worth, TX","4+ years of work experience responsible for designing, deploying and operating large-scale networks
Experience configuring and troubleshooting routing and switching protocols (BGP, IS-IS, MPLS, RSVP-TE, VRRP)
Working knowledge of network protocols (TCP/UDP, DHCP, DNS) and experience with IPv4 and IPv6
Experience working in a multi-vendor environment with hands-on experience with networking hardware
Working knowledge of physical infrastructure design including structured cabling and fiber-optic cabling
Experience managing multiple projects simultaneously and deliver against deadlines
Experience working in global team environments and solve problems
Ability to lift/move 30-40 pounds on a daily basis","Working knowledge of 40/100G Ethernet and CWDM, DWDM and optical transport network technologies.
Experience with field-based work in Data Centers, Colocation Facilities, Internet Exchanges, or Central Offices.
Working knowledge of data center power and cooling infrastructure and critical facility operational best practices.
Familiarity with the Linux based systems and experience with scripting and automation (Bash, Python, Perl).
Technical leadership capabilities and people management experience.","Deployment, configuration, and management of all network infrastructure on our data center campus
Work with partner teams and vendors to manage day-to-day operations and reliability of the regional network
Schedule and perform maintenance including upgrades, migrations, and decommissioning of production networks
Create deployment packages and maintain as-built documentation and asset database for installed network gear
Establish and implement global best practices and contribute to the design of new scalable network solutions
Support the development, testing and integration of new hardware and software platforms into the network
Participate in an on-call rotation to support the regional network infrastructure 24x7
10% of travel required, up to 30% based on projects",None,None,4,0,None,Python
610,Automation Engineer - Network Hardware,"Menlo Park, CA","Bachelor’s or Masters degree in Electrical Engineering, Networking or related fields.
Minimum of 5 years of programming/scripting, automation, data structures design experience.
Minimum 1 year of knowledge of Linux operating system.
Minimum of 5 years experience developing test infrastructure for hardware.
Minimum of 3 years experience programming or scripting in Python, C or other object-oriented programming language.","Familiar with hardware architecture from major network equipment company.
Knowledge of Linux or other embedded environments.
Programming experience in test/measurement and data analysis automation, preferably in Python.
Experience with failure-mode analysis, understanding and predicting fundamental or critical potential failure modes in networking systems at platform level.
Highly detail oriented, and possesses communication and documentation skills.
Ability to work in cross functional environments.
Exposure to hardware/firmware testing and diagnostics methodologies.
Understanding of data structures and analysis techniques required to analyze datasets.","Develop Python and/or C-based tools for testing and validation automation, diagnostics and HW debugging.
Develop device drivers testing for control and management of on-board components, etc.
Develop workflows, practices and tooling to allow system-level diagnostics and health monitoring.
Collaborate with the Network Hardware Engineering team (networking, optics and electrical engineers), Data Center Networking, and Software teams across Facebook to understand and convert failures into test cases/suites (switch-to-switch up to network-scale).
Create core automation infrastructure and helper functions to collect and analyze parametric and logging data required for health monitoring and diagnostics.",Master,None,5,0,Python,Python
611,Critical Operations Manager,"Huntsville, AL","7+ years experience in team management
5+ years experience in critical work environment",,"Develop, mentor, and manage the entire Critical Operations team on campus, consisting of Chief Building Engineers and Critical Facility Engineers.
Hire, develop, mentor, and manage Chief Building Engineers, and oversee hiring activities for Critical Facility Engineers.
Review and approve procedures used to conduct maintenance on critical infrastructure.
Communicate effectively and efficiently within the site/campus cross-functional leadership team, the site/campus Facilities Operations Team, and across the global enterprise with team.
Conduct Post-Incident and Root Cause Analysis reviews and communicate lessons learned to the global team.
Ensure site coverage is maintained for 24/7 operations.
Review maintenance operations for safety, efficiency, and technical accuracy.
Responsible for risk mitigation efforts across the site, including an overall view of systems offline and undergoing maintenance.
Develop and manage a comprehensive drill program of emergency operating procedures for the Critical Operations Team.
Review and approve all work efforts for the Facebook-owned electrical substation (where applicable).
Analyze Computerized Maintenance Management System (CMMS) reporting.
Respond as needed to facility systems after-hours maintenance and facility systems complications.",None,None,7,0,None,None
612,Research Intern - Optical Design - Optics (PhD),"Redmond, WA","ust obtain work authorization in the country of employment at the time of hire and maintain ongoing work authorization during employment
Currently has or is in the process of obtaining a PhD in the field of Optics, Electrical Engineering, Applied Physics, or a related field
2+ years experience with optical design software, Code V, Zemax, FRED, or Lighttools
2+ years experience with optical instrumentation, emphasizing modeling and hardware prototyping
Strong knowledge in geometric optics, physical optics, radiometry and detection
Interpersonal skills: cross-group and cross-culture collaboration","Intent to return to degree-program after the completion of the internship/co-op
2+ years experience with scientific programming languages such as MATLAB, LabVIEW, Python, Mathematica, or similar
Demonstrated experience via an internship, work experience.
Proven track record of achieving significant results as demonstrated by first-authored publications in journals or at conferences, etc.","Develop next generation AR/VR display prototypes with an emphasis on both modeling and prototyping of new concepts
Collaborate with the larger FRL team and provide creative leadership on computational display, imaging, and sensing technologies
Publish research results in top-tier journals and at leading international conferences",PhD,None,2,2,None,Python
613,"Research Intern, Optical Design and Optical Sensing (PhD)","Redmond, WA","Must obtain work authorization in the country of employment at the time of hire and maintain ongoing work authorization during employment
Currently has or is in the process of obtaining a PhD in the field of Optics, Electrical Engineering, Applied Physics, or a related field
Strong knowledge in geometric optics, physical optics, radiometry and detection
2+ years experience with optical design software, Code V, Zemax, FRED, or Lighttools
2+ years experience with scientific programming languages such as MATLAB, LabVIEW, Python, Mathematica, or similar
Interpersonal skills: cross-group and cross-culture collaboration","Intent to return to degree-program after the completion of the internship/co-op
2+ years experience with optical design, sequential or non-sequential ray-tracing
2+ years experience with optical instrumentation, emphasizing modeling and hardware prototyping
Proven track record of achieving significant results as demonstrated by first-authored publications in journals or at conferences, etc.
Demonstrated experience via an internship, work experience.","Develop next generation AR/VR display prototypes with an emphasis on both modeling and prototyping of new concepts
Collaborate with the larger FRL team and provide creative leadership on computational display, imaging, and sensing technologies
Publish research results in top-tier journals and at leading international conferences",PhD,None,2,2,Python,None
614,"Optical & Satellite Systems Intern, Facebook Connectivity Hardware","Northridge, CA","Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment
Currently has, or is in the process of obtaining, a BS or MS in Engineering, Physics, or a related field
Fundamental knowledge in several of the following areas: systems engineering, verification and validation, laboratory test and measurement, automation, data acquisition and post processing, radiation effects, vibration testing, thermal vacuum testing
Strong problem solving and hardware troubleshooting skills
Experience with an analytical tool such as Matlab, Python, Mathematica, Origin Pro, and Igor Pro, and/or experience with one or more commercial engineering software packages (such as Ansys, Fastrad, Solidworks, Orcad, etc)",Intent to return to degree-program after the completion of the internship/co-op,"Candidate may support a variety of hardware product development initiatives including:
Support assembly, integration, and test (AI&T) activities, including providing inputs and requirements for the design of text fixtures, configurations, verification and validation (V&V) matrices, test plans, and special test equipment
Analyze test data and reduce to actionable information
Identify anomalous behaviors and apply root cause analysis (RCA) methodology to resolve
Draft reports and potential publications/papers
Perform research and tests on candidate materials and electronics parts, which may include working with vendors who have specialized knowledge and capability in these areas",BS,None,0,0,Python,None
615,"Data Analyst, Supplier Diversity","Austin, TX","BA/BS in a field that emphasizes data analysis and visualization (e.g., computer science, social sciences, physical sciences, math, engineering, or statistics), or equivalent work experience
3+ years working in data and analytics
Experience with SQL (or similar language aimed at querying relational databases)
Experience working with Tableau (or similar data visualization tools)
Experience with Excel
Experience manipulating large data sets through statistical software or other methods
Experience processing and analyzing data sets
Experience knowing when a question requires reporting on data vs. statistical analysis","Experience with R, Python, or a similar scripting language
Experience working with finance data (e.g. AP, supplier master, and other source-to-pay analytics)
Project management experience","Lead the production of Facebook Supplier Diversity’s annual report to the community including ensuring the accuracy and integrity of the data and coordinating internal partners in finance, communications, marketing, policy, internal audit, and enterprise products to deliver the final product
Understand diverse supplier data and use that data to identify trends, actionable insights, and be able to tell a compelling story to cross-functional partners
Build and maintain reports, dashboards, and metrics to monitor the Supplier Diversity program’s key performance indicators
Address data integrity issues and work to solve root cause process or systems issues by partnering with Enterprise Engineering
Respond to (or triage) any and all requests related to diverse supplier data with minimal guidance or oversight
Document requirements with stakeholders, and partner with other teams on broader changes to core dashboards and solutions
Project manage data and process improvements with third parties",BA,None,3,0,SQL,Python
616,"Technical Program Manager, Native Templates","Menlo Park, CA","B.S. in Computer Science or a related technical discipline, or equivalent experience.
7+ years of software engineering, systems engineering or technical product/program management experience.
Experience delivering tech programs or products from inception to delivery.
Knowledge of user needs, gathering requirements, and defining scope.
Experience operating autonomously across multiple teams, demonstrated critical thinking, and thought leadership.
Communication experience and experience working with technical management teams to develop systems, solutions, and products.
Organizational, coordination and multi-tasking experience.
Analytical and problem-solving experience with large-scale systems.
Experience establishing work relationships across multi-disciplinary teams and multiple partners in different time zones.",,"Articulate the technical requirements, goals and milestones for the Geo Positioning team.
Develop and maintain partner relationships with other teams for adoption and usage of functionality.
Build subject matter expertise in your area and stay up-to-date on technological developments.
Communicate technical requirements to teams you depend on.
Work with Product Management and Engineering teams to define your team's strategy.
Make your technical stack transparent with great data sets, reporting and documentation.",None,None,7,0,None,None
617,"Technical Program Manager, Groups","New York, NY","B.S. in Computer Science or a related technical discipline, or equivalent experience.
7+ years of software engineering, systems engineering or technical product/program management experience.
Experience delivering tech programs or products from inception to delivery.
Knowledge of user needs, gathering requirements, and defining scope.
Experience operating autonomously across multiple teams, demonstrated critical thinking, and thought leadership.
Communication experience and experience working with technical management teams to develop systems, solutions, and products.
Organizational, coordination and multi-tasking experience.
Analytical and problem-solving experience with large-scale systems.
Experience establishing work relationships across multi-disciplinary teams and multiple partners in different time zones.","SWE background at some point in the career.
Experience with mobile product development (iOS or Android platform).","Develop and manage end-to-end technical product solutions and ensure on-time delivery.
Manage cross-functional products and programs in a matrix organization.
Provide hands-on program management during analysis, design, development, testing, implementation, and post implementation phases.
Perform risk and change management, day-to-day coordination and quality assurance.
Drive internal process improvements across multiple teams and functions.
Drive requirements and scope with Engineering and cross-functional teams.
Articulate the technology, requirements, goals and milestones of your team.",None,None,7,0,None,None
618,"Survey Research Scientist, News Feed","Menlo Park, CA","Experience communicating analyses and results to any audience
Master’s or Ph.D. in the social sciences (e.g., Economics, Political Science, Sociology, Psychology, Communication), or in a quantitative field (e.g., Statistics, Informatics, Econometrics) with experience answering social questions
Knowledge in data manipulation and analysis software and programming languages (R/Stata, SQL/Hive)
Knowledge in quantitative and survey research methodologies (e.g., bias correction for surveys, survey sampling and design, regression modeling, causal inference with a survey outcome, shrinkage and regularization, designing and analyzing longitudinal panel surveys, behavioral data analysis)","Experience with Unix, Python, and large datasets (> 1TB)","Help shape the research agenda and drive research projects from end-to-end
Collaborate with product teams to define relevant questions about survey methodology and quantitative measurement
Deploy appropriate quantitative methodologies to answer those questions
Develop novel approaches where traditional methods won’t do
Provide teams with usable measurement strategies and methodologies to meet their product and business decision needs
Deliver insights and recommendations clearly to relevant audiences",Master,None,0,0,SQL,Python
619,Systems Engineer,"Dublin, Ireland","Bachelor's degree in Computer Science, Engineering, or a related technical discipline or equivalent experience.
6+ years of experience coding with Python and Bash.
6+ years of experience in configuration and automation tools (for example: CFEngine, Chef, Puppet).
10+ years of experience with the Linux installation and boot-up process.","Familiar with latest server and storage architecture and components.
Experience with managing large scale fleets of hardware including health checks and remediation.
Strong leadership experience and the ability to set directions in internal team and cross-functional teams
Troubleshooting and debugging experience.","Augment and enable software infrastructure to manage, maintain and track hardware in our growing fleet.
Develop systems that proactively capture health status of various hardware components.
Provide software capabilities to upgrade all elements of the hardware fleet.
Partner with multiple cross-functional teams to solve complex problems
Collaborating in a team environment across engineering disciplines
Understand provisioning software and work with production engineering teams to enable new hardware SKUs, and improve the automation of provisioning and remediation capabilities.
Partner with technical product management, production engineering, kernel development, hardware engineering, sustaining engineering, and other related groups.
Guide and mentor junior to midlevel engineers",Bachelor,None,6,0,Python,None
620,Critical Facility Engineer,"Odense, Denmark","High school diploma or equivalent
Three (3) years’ experience in a data center or other Critical Environment preferred
Three (3) years’ experience in HVAC or Electrical experience preferred
Documented electrical engineering expertise and / or experience in the electricity profession is an advantage
Working knowledge of Microsoft Office Suite - Word, Excel, Outlook required
Working knowledge of mechanical, electrical and control systems typically used in critical environments is an advantage
Experience as a technician- or equivalent work is an advantage
Knowledge of cooling technology is an advantage
Knowledge of fire alarm / sprinkler systems is an advantage
Knowledge of switchgear, emergency power and UPS systems is an advantage
Ability to read blueprints/CAD drawings",,"Perform routine maintenance tasks in accordance with Facebook Safety Policy and Procedures
Inspect buildings, grounds and equipment for unsafe or malfunctioning conditions
Troubleshoot, evaluate and recommend system upgrades
Work with vendors and contractors to ensure their work meets Facebook standards
Perform all maintenance to ensure the highest level of efficiency without disruption to the business
Accurate and timely completion of work order requests
Escalate issues to Manager as needed
Continuous work on improvements, energy efficiency and quality assurance procedures
Participate in new installations as well as building retrofits
Responsible for updating the list of items, maintenance plans etc.
Performing administration and documentation related to work
Service and customer oriented, with good communication skills will be required to work in an environment where heavy lifting, climbing and a high degree of dexterity is required
Proactive, engaged and feel an ownership for the facilities
Well organised and disciplined in your work
Work may include travel both domestic and international <10%
Ability to work at heights and from ladders
Maintain a positive and professional working relationship with internal clients
Respond to customer service requests and emergency in a timely manner",None,None,0,0,None,None
621,Electrical Engineer,"Redmond, WA","5+ years of industry experience in hardware design or electrical engineering roles
Bachelor's degree in Electrical Engineering, Computer Engineering, or equivalent
Experience with opto-electrical systems, such as lasers, proximity sensors, and depth sensors
Analog design experience, including experience with switching power supplies, LED drive circuitry, and measurement of analog signals
Experience with circuit simulations & modeling (e.g. SPICE, MATLAB)
Experience with communication interfaces, such as USB, I2C, and SPI
Experience in schematic and board layout using Altium, Cadence, or equivalent
Experience with oscilloscopes, high speed digital test equipment, logic analyzers, and function generators
Circuit design experience with uControllers, firmware and programmable logic
Experience programming in C, creating initial system bring-up, debugging and test code","10+ years of industry experience in hardware design or electrical engineering roles
Experience designing consumer products
Experience scaling designs from low-volume to high-volume
Experience designing embedded systems for production
Experience with FPGAs and Programmable Logic
Experience with high-speed interfaces such as MIPI/LVDS","Collaborating in a team environment across engineering disciplines
Designing schematics, completing board layouts, assembling, testing, debugging and integrating designs into opto-electrical systems
Driving electrical, system, and component specifications
Working with external vendors to define and create custom components",Bachelor,None,5,10,None,None
622,"Lead Systems Engineer, Portal","Menlo Park, CA","BS or MS in Electrical Engineering or Computer Engineering
Hands-on systems and product engineering and architecture experience in the product life cycle from product definition to NPI and ramp
Experience with consumer electronics products, mobile platforms and audio/video technologies
Demonstrated experience creating platforms
Experience in rapid prototyping and proof of concept work","Understanding of overall systems interactions of hardware, firmware, kernels, frameworks, network and systems in terms of latencies and interfaces
Ability to model capture to transmit system BW, compute, and latency across multiple subsystems in a heterogeneous compute environment in order to determine the system components and performance required to meet the overall goals of the product definition
Understanding of memory subsystems including mass storage and filesystem as well as volatile memory and memory management and their impacts on overall system performance
Experience with standard interfaces in the typical consumer platform (CSI, DSI, M-PHY, D-PHY, C-PHY, SPI, I2C, I2S)
Working knowledge across the following areas with experience in at least one:
Imaging: interfaces, optical, sensors, modules, IQ, AAA, ISP fundamentals, CV/ML (object detection, identification/recognition, tracking)
Audio: interfaces, sound file recording and reproduction (channel based, HoA etc.), multi mic topologies, beam forming, blind source separation, natural language processing
Communications: network impacts on latency, throughput and jitter, VoIP, video communications
General Machine learning (DNN, CNN, RNN)
Experience with latest generation mobile and consumer electronics chipset architectures
Android system experience
Experience on companies across industries","Drive the creation of realizable systems architectures incorporating advanced technology projects targeting the creation of next generation products
Engage with technology project leads, and various component SMEs in creating the overall system architecture and platform as the starting point for product execution
Work in the theoretical space with an eye on the real world implementation experience
Create proof of concepts
Heavy involvement in the initial product realization and bring-up",BS,None,0,0,None,None
623,Global Data Center Facilities Operational Readiness Lead – East Region,"Washington, DC","Bachelors Degree in engineering (mechanical, electrical or industrial) or equivalent technical discipline
10+ years of experience managing technical or mission critical facility operations
Experience making decisions and work with minimal direction
Track record of thinking strategically and executing tactically
Track record of driving projects to completion with minimal supervision
Experience in program management and deployment
Experience supporting site teams
Experience providing solutions to global projects","Advanced degree or certification in engineering/project management
Experience in managing process and program deployment across multiple facilities and stakeholders
Experience supporting site turnover and startup activities, especially in asset management and material/parts management and operational processes
Experience in interfacing with cross-functional teams for mission critical facility operations, particularly in engineering, inventory and supply chain management
Experience in global operational standards and processes for critical facilities","Ensure development and implementation of cross-functional programs related to operational readiness of our data centers
In support of maintenance plans and repair strategies, coordinate with logistics partners to ensure optimal provisioning of parts, spares, and consumables at all data centers to support continual readiness and ensure scalable solutions
Work with site startup teams to implement day 1 readiness and turnover activities along with site teams and ensure the new site teams are trained and onboarded with the latest Facility Operations processes
In collaboration with cross-functional data center teams, support efficient planning of lifecycle maintenance activities and projects that require equipment shutdowns, to minimize impact on redundancy and availability
Ensure consistency and use of best practices across fleet using global standards and processes developed by the global team in DC facility operations, maintenance, EH&S and project controls (This could include coordinating training, supporting site personnel in implementation, etc.)
Provide for cross communications with counterparts at all data center sites, with the leadership team, and adjacent operating teams to share lessons learned and best practices to improve optimize operational readiness and associated processes and routines
Support assessment of facility operations, review of post incident reports, root cause analysis, and corrective action plans
Support and drive the development and improvement of applicable global standards
Ensure consistent process deployment in both legacy as well as new build data centers
Approximately 50% travel required",Bachelor,None,10,0,None,None
624,Facility Process Coordinator,"Henrico, VA","High school diploma or GED.
Knowledge of Microsoft Office Suite - Word, Excel, Outlook and Visio.
Working knowledge of Data Center operations.
Working knowledge of mechanical, electrical, and life safety monitoring and control systems typically used in critical environments.
Experience interpreting blueprints/CAD drawings.
Knowledge of facility systems, procedures and processes.","3+ years experience in a data center or other critical environment.
Professional affiliations (24x7, IFMA, and Data Center Pulse).","Coordinate Facility Operations.
Identify as-built updates and track progress.
Communicate with Menlo Park Operations team, providing input on retrofits impacting as-built.
Data Center procedure audits.
Procedure revisions, organization, and tracking.
Organize reports and presentations.
Conduct on-boarding and maintain records of employee training.
Escalate issues to Facility Manager as needed.",None,None,0,3,None,None
625,"Executive Assistant, Data Center Campus","Fort Worth, TX","4+ years of experience providing administrative support to 1 or more executives
4+ years of experience coordinating travel logistics on behalf of 1 or more executives
4+ years of calendar management and expense report management experience for 1 or more executives
Experience prioritizing multiple projects
Experience with Microsoft Office and G Suite
Experience with relationship building across departments",BA/BS,"Coordinate internal and external meetings for multiple executives
Manage hectic and complex calendar
Prepare expense reports and purchase requisitions
Coordinate both domestic and international travel arrangements
Organize space planning and large offsite events
General office duties as needed
Build cross-functional relationships between departments",None,BA,4,0,None,None
626,"Group Technical Program Manager, Core Systems","Menlo Park, CA","Experience building a team through continual coaching and career growth opportunities.
5+ years of experience as a Technical Program Manager.
4+ years of experience as a People Manager.
B.S. in Computer Science or a related technical discipline, or equivalent experience.
Experience building large-scale public or private cloud infrastructure.
Communication and interpersonal experience, including relationship building and collaboration within a cross-functional team.
Experience understanding product requirements and translating needs into plans.",,"Build and lead a world-class team of TPM’s capable of scaling with Facebook while forging tight partnerships with managers and engineers across teams.
Demonstrate an ability to structure an organization to deliver product outcomes, including attracting top tier talent quickly to accommodate growth.
Build and lead an organization with customer focus, world-class quality, and effective communication with a focus on decisive, fast-moving solutions, quick and constructive resolutions to conflicts, and a “no barriers” mentality.
Serve as an evangelist for the TPM function and overall culture, both internally and externally.
Responsible for people management of a team, providing performance reviews, continual feedback, coaching and career growth for direct reports.
Work with Product Management and Engineering on product-level strategic planning and delivery.
Articulate the technology, requirements, goals and milestones of your team.
Manage cross-functional programs in a matrix organization covering a range of areas.
Provide hands-on program management during analysis, design, development, testing, implementation, and post implementation phases.
Drive internal process improvements across multiple teams and functions.
Define and own metrics and key performance indicators.",None,None,5,0,None,None
627,"Technical Program Manager, Hardware Reliability","Menlo Park, CA","B.S. in Computer Engineering or a related technical discipline, or equivalent experience
7+ years of experience in Hardware Engineering, Systems Engineering or Technical Product/Program Management
Experience delivering technical programs or products from inception to delivery
Experience operating autonomously across multiple teams, demonstrated critical thinking, and thought leadership
Organizational, coordination and multi-tasking experience
Analytical and problem-solving experience with large-scale systems
Experience establishing work relationships across multi-disciplinary teams and multiple partners in different time zones","4+ years of Hardware Systems Design experience
Experience in Hardware Reliability or related fields
Experience working with large scale distributed systems
Experience with data center architecture and deployment
Project Management Certification (PMP)","Drive Hardware Reliability roadmap and strategy decisions to align with Facebook-wide initiatives
Up-level the mindset and frameworks related to Hardware Reliability to enable faster scaling of Facebook Infrastructure
Drive engineering decisions and priorities to ensure that hardware teams are solving the most impactful problems
Work with internal customers to identify user needs, gather product requirements, and define scopes
Develop and manage end-to-end integrated project plans and ensure on-time delivery
Manage cross-functional infrastructure projects covering a range of areas (Data Center, Network, Hardware Systems, Infrastructure Software Engineering, Capacity Management, Applications)
Perform risk assessment, risk mitigation, and change management on projects
Drive internal process improvements across multiple teams and functions
Interface with Engineering and Application owners for project and product requirements and scope
Provide engineering assessments and risk analysis for hardware designs",None,None,7,4,None,None
628,Security Program Manager,"Menlo Park, CA","3+ years of working experience in information security, program/project management or similar experience
BA/BS in Computer Science or equivalent, Information Systems or equivalent work experience
Experience working independently with individuals across various levels
Experience managing priorities and simultaneous/concurrent projects in a fast-paced environment
Communication and organizational experience","SANS or CISSP certification in areas of Security strategy & roadmap development, Enterprise security, Access Management, and Risk Management","Manage and lead project teams to define the scope, timeline, hardware, software and resource allocation requirements to ensure the successful delivery of high-impact cross-functional, strategic Security programs and operational initiatives
Develop and implement project management procedures and methodologies to achieve business goals with defined success criteria and lead teams to develop, evaluate, and revise project processes
Identify project risks and drive the implementation of recommended mitigation solutions
Drive cross-functional and effective communications throughout the program lifecycle, providing the visibility and transparency required to ensure cross-functional team and stakeholder alignment
Ensure completion of post-implementation handoff, successfully delivering of customer support for concurrent initiatives and projects
See Security as a trusted partner, focused on enabling our company to be productive within a safe and secure environment",BA,None,3,0,None,None
629,Systems Engineer,"Tel Aviv, Israel","8+ years relevant coding experience in C, C++, Java and/or C#
2+ years relevant coding experience in Perl, PHP, Hack or Python
2+ years relevant experience building large-scale server applications","B.S. Computer Science or related technical field
Experience with operating system internals, filesystems, programming language design, compilers","Design core, backend software components
Code using primarily C++ and/or Java
Interface with other teams to incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various system resources",None,None,8,0,"C++,Java,Python,PHP,C#",None
630,"Research Intern, Advanced Optical Design (PhD)","Redmond, WA","Currently has, or is in the process of obtaining, a PhD degree in the field of Optical Science or Engineering, Electrical Engineering, Physics, or a related field.
2+ years experience in nanophotonics, photonic crystals, plasmonics, or metamaterials.
2+ years experience in electromagnetic modeling and analysis of light propagation in complex nanoscale structures and anisotropic films.
2+ years experience with scientific programming languages such as Matlab and Python.
1+ years experience with optimization and machine learning techniques.
1+ years experience with electromagnetic simulation software such as Lumerical, Meep, Comsol or S4.
1+ years experience with experimental optics and conducting laboratory work (i.e., demonstrated ability to construct proof-of-concept systems and to evaluate performance).
Familiar with processes and tools used for fabricating and testing nanophotonic structures and components.
Interpersonal skills: cross-group and cross-culture collaboration.
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.","Demonstrated experience via an internship, work experience, or widely used contributions to open source projects.
Proven track record of achieving significant results as demonstrated by first-authored publications.
Intent to return to degree-program after the completion of the internship/co-op","Explore application of nano -scale optical structures for controlling the propagation of light in AR display applications.
Create new tools and methods for analyzing optical responses with novel structures and combinations. Perform trade studies of achievable performance in selected display architectures.
Collaborate with the larger Facebook Reality Labs team to create and test new optics concepts for AR displays.
The type of work should be publishable research results in top-tier journals and at leading international conferences.",PhD,None,2,0,Python,None
